uid,address,avg_rate,city,country,latitude,longitude,name,price,thumbnail
823b8431-76f3-4929-9240-3f029adeb63c,Mallorca 181 Eixample 08036 Barcelona Spain,8.4,Barcelona,Spain,41.3894195,2.1564886,Best Western Premier Hotel Dante,370,
62959fbf-b082-45d3-b107-5acee14db7ba,Peters Lane Cowcross Street Islington London EC1M 6DS United Kingdom,9.1,London,United Kingdom,51.520171,-0.102463,The Rookery,67,
d3c3bfae-7fa0-479f-8e5a-d4afe13bd687,Elisabets 11 Ciutat Vella 08001 Barcelona Spain,9.6,Barcelona,Spain,41.3832414,2.1685298,Hotel Casa Camper,322,
886fa6b2-590e-48b8-8158-7ee68b14ebd4,4 rue Amsterdam 9th arr 75009 Paris France,7.5,Paris,France,48.8759461,2.3270955,Le Grand Hotel de Normandie,385,
c35c6d5f-5170-4bd5-89d5-c51381214842,116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom,8.1,London,United Kingdom,51.504716,-0.1475618,The Athenaeum,357,
7717c988-c144-4ac4-876d-fd44a6460abd,11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,8.1,London,United Kingdom,51.5188555,-0.1319172,My Bloomsbury,277,
61488416-ecca-48c6-bd38-3c5ef1cc5b89,35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,8.4,London,United Kingdom,51.490724,-0.143868,Georgian House Hotel,242,
10d9e26b-3fec-42b3-9cea-573cfed6cc7e,117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,7.8,London,United Kingdom,51.4945144,-0.1866172,Park International Hotel,165,
6ca7324b-4f12-4162-b8d2-1bd48a6ae55a,5 Rue De Malte 11th arr 75011 Paris France,9.1,Paris,France,48.8636049,2.3688352,My Home In Paris,139,
4ec30070-dfc6-4e92-a106-845911161c36,Pas de Sota Muralla 9 Ciutat Vella 08003 Barcelona Spain,9.2,Barcelona,Spain,41.3815625,2.1838458,H10 Port Vell 4 Sup,57,
451c87e9-0ca8-406b-9a6e-5b9730f32166,22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom,8.9,London,United Kingdom,51.5072713,-0.0211213,London Marriott Hotel West India Quay,312,
25f884bf-96e2-4059-a625-2c9ac4249ec6,7 11 Rue Saint Benoit 6th arr 75006 Paris France,8.6,Paris,France,48.8550298,2.3332104,Hotel Bel Ami,327,
cdaa27bc-47c6-4793-bf8f-a46a7b74903a,Place Andr Malraux 1st arr 75001 Paris France,8.3,Paris,France,48.8639788,2.3352615,Hotel du Louvre in the Unbound Collection by Hyatt,309,
32e716d4-14ce-4573-9359-6caf47562795,Corso Sempione 91 Fiera Milano City 20149 Milan Italy,8.5,Milan,Italy,45.4867005,9.1575137,Enterprise Hotel Design Boutique,309,
1d2a70ed-dd7f-454c-9d7b-33004184f573,4 rue Salomon de Caus 3rd arr 75003 Paris France,8.2,Paris,France,48.8675674,2.3539896,Little Palace Hotel,229,
5f17fb13-c94a-4e21-8d10-2fd03f484ec0,140 Park Lane Westminster Borough London W1K 7AA United Kingdom,8.8,London,United Kingdom,51.5131428,-0.1576714,London Marriott Hotel Park Lane,268,
61e4627d-5268-491a-9ff1-d67bbfccb1d5,50 Great Cumberland Place Westminster Borough London W1H 7FD United Kingdom,9.1,London,United Kingdom,51.5159214,-0.1598794,The Arch London,309,
32b6e02a-1059-4a36-a911-6a067a5ef57e,28 30 Seymour Street Westminster Borough London W1H 7JB United Kingdom,9.3,London,United Kingdom,51.514839,-0.1586656,The Zetter Townhouse Marylebone,236,
449d401d-4871-40fa-a6c6-15149f13bd61,11 Bis rue Mazagran 10th arr 75010 Paris France,7.9,Paris,France,48.8708508,2.3515882,Hotel Regina Op ra Grands Boulevards,109,
fb2b2712-28e7-4709-bb80-8ba1011a7d3f,9 Rue Sainte Beuve 6th arr 75006 Paris France,8.9,Paris,France,48.8438998,2.3294858,Hotel Le Sainte Beuve,276,
e56b6d1c-3329-49e0-aef4-032cf16afdb5,Keizersgracht 164 Amsterdam City Center 1015 CZ Amsterdam Netherlands,9.4,Amsterdam,Netherlands,52.3758754,4.8859642,The Toren,63,
245f51f4-0a9c-46ae-9563-89a4d1539e92,  <main>,0.0,,,0.0,0.0,,325,
4718a06c-dc7e-4d47-b771-291cdc832eac,Ramon Turr 196 198 Sant Mart 08005 Barcelona Spain,7.9,Barcelona,Spain,41.3989322,2.2024183,Ilunion Barcelona,161,
