country,city,hotel_name,hotel_address
Spain,Barcelona,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Paseo Taulat 278 Sant Mart 08019 Barcelona Spain
Spain,Barcelona,AC Hotel Sants a Marriott Lifestyle Hotel,Passeig de Sant Antoni 36 40 Sants Montju c 08014 Barcelona Spain
Spain,Barcelona,Acevi Villarroel,Villarroel 106 Eixample 08011 Barcelona Spain
Spain,Barcelona,Acta Atrium Palace,Gran Via Corts Catalanes 656 Eixample 08010 Barcelona Spain
Spain,Barcelona,Acta CITY47,Nicaragua 47 Sants Montju c 08029 Barcelona Spain
Spain,Barcelona,Alexandra Barcelona A DoubleTree by Hilton,Mallorca 251 Eixample 08008 Barcelona Spain
Spain,Barcelona,Alma Barcelona GL,Mallorca 269 271 Eixample 08008 Barcelona Spain
Spain,Barcelona,Aparthotel Arai 4 Superior,Avinyo 30 Ciutat Vella 08002 Barcelona Spain
Spain,Barcelona,Aparthotel Mariano Cubi Barcelona,Mariano Cubi 62 64 Sarri St Gervasi 08006 Barcelona Spain
Spain,Barcelona,Attica 21 Barcelona Mar,Proven als 10 Sant Mart 08019 Barcelona Spain
Spain,Barcelona,Avenida Palace,Gran Via 605 Eixample 08007 Barcelona Spain
Spain,Barcelona,Axel Hotel Barcelona Urban Spa Adults Only,Aribau 33 Eixample 08011 Barcelona Spain
Spain,Barcelona,Ayre Hotel Caspe,Caspe 103 Eixample 08013 Barcelona Spain
Spain,Barcelona,Ayre Hotel Gran V a,Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain
Spain,Barcelona,Barcel Raval,Rambla del Raval 17 21 Ciutat Vella 08001 Barcelona Spain
Spain,Barcelona,Barcel Sants,Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain
Spain,Barcelona,Barcelona Princess,Avenida Diagonal 1 Sant Mart 08019 Barcelona Spain
Spain,Barcelona,Bcn Urban Hotels Gran Rosellon,Rosell n 174 176 Eixample 08036 Barcelona Spain
Spain,Barcelona,Best Western Premier Hotel Dante,Mallorca 181 Eixample 08036 Barcelona Spain
Spain,Barcelona,Capri by Fraser Barcelona,Sancho de vila 32 34 Sant Mart 08018 Barcelona Spain
Spain,Barcelona,Catalonia Atenas,Avenida Meridiana 151 Sant Mart 08026 Barcelona Spain
Spain,Barcelona,Catalonia Barcelona Plaza,Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain
Spain,Barcelona,Catalonia Born,Rec Comtal 16 18 Ciutat Vella 08003 Barcelona Spain
Spain,Barcelona,Catalonia Diagonal Centro,Balmes 142 146 Eixample 08008 Barcelona Spain
Spain,Barcelona,Catalonia Eixample 1864,Roger de Ll ria 60 Eixample 08009 Barcelona Spain
Spain,Barcelona,Catalonia Magdalenes,Magdalenes 13 15 Ciutat Vella 08002 Barcelona Spain
Spain,Barcelona,Catalonia Park Putxet,Putget 68 Sarri St Gervasi 08023 Barcelona Spain
Spain,Barcelona,Catalonia Passeig de Gr cia 4 Sup,Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain
Spain,Barcelona,Catalonia Plaza Catalunya,Bergara 11 Eixample 08002 Barcelona Spain
Spain,Barcelona,Catalonia Port,Ample 1 Pla a Duc de Medinaceli Ciutat Vella 08002 Barcelona Spain
Spain,Barcelona,Catalonia Ramblas 4 Sup,Pelai 28 Ciutat Vella 08002 Barcelona Spain
Spain,Barcelona,Catalonia Rigoletto,Sabino de Arana 22 24 Les Corts 08028 Barcelona Spain
Spain,Barcelona,Catalonia Square 4 Sup,Ronda Sant Pere 9 Eixample 08010 Barcelona Spain
Spain,Barcelona,Col n Hotel Barcelona,Avinguda Catedral 7 Ciutat Vella 08002 Barcelona Spain
Spain,Barcelona,Condes de Barcelona,Paseo de Gracia 73 Eixample 08008 Barcelona Spain
Spain,Barcelona,Cram,Aribau 54 Eixample 08011 Barcelona Spain
Spain,Barcelona,Duquesa Suites Barcelona,Pla a Antonio L pez 5 Ciutat Vella 08002 Barcelona Spain
Spain,Barcelona,Duquesa de Cardona,Passeig Colom 12 Ciutat Vella 08002 Barcelona Spain
Spain,Barcelona,Eurostars Bcn Design,Passeig de Gr cia 29 Eixample 08007 Barcelona Spain
Spain,Barcelona,Eurostars Cristal Palace,Diputaci 257 Eixample 08007 Barcelona Spain
Spain,Barcelona,Eurostars Grand Marina Hotel GL,Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain
Spain,Barcelona,Eurostars Ramblas,La Rambla 22 24 Ciutat Vella 08002 Barcelona Spain
