country,city,hotel_name,hotel_address
Italy,Milan,The Hub Hotel,Via Privata Polonia 10 20157 Milan Italy
Italy,Milan,The Square Milano Duomo,Via Albricci 2 4 Milan City Center 20122 Milan Italy
Italy,Milan,The Westin Palace,Piazza della Repubblica 20 Central Station 20124 Milan Italy
Italy,Milan,TownHouse Duomo,Via Silvio Pellico 2 Milan City Center 20121 Milan Italy
Italy,Milan,UNA Hotel Cusani,Via Cusani 13 Milan City Center 20121 Milan Italy
Italy,Milan,Uptown Palace,Via Santa Sofia 10 Milan City Center 20122 Milan Italy
Italy,Milan,Worldhotel Cristoforo Colombo,Corso Buenos Aires 3 Milan City Center 20124 Milan Italy
Netherlands,Amsterdam,Amadi Panorama Hotel,Ijburglaan 539 Zeeburg 1087 BE Amsterdam Netherlands
Netherlands,Amsterdam,Amadi Park Hotel,Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands
Netherlands,Amsterdam,Ambassade Hotel,Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands
Netherlands,Amsterdam,Amsterdam Marriott Hotel,Stadhouderskade 12 Oud West 1054 ES Amsterdam Netherlands
Netherlands,Amsterdam,Apollo Hotel Amsterdam,Apollolaan 2 Oud Zuid 1077 BA Amsterdam Netherlands
Netherlands,Amsterdam,Banks Mansion All Inclusive Hotel,Herengracht 519 525 Amsterdam City Center 1017 BV Amsterdam Netherlands
Netherlands,Amsterdam,Best Western Blue Tower Hotel,Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands
Netherlands,Amsterdam,Best Western Delphi Hotel,Apollolaan 101 105 Oud Zuid 1077 AN Amsterdam Netherlands
Netherlands,Amsterdam,Best Western Plus Hotel Blue Square,Slotermeerlaan 80 Geuzenveld Slotermeer 1064 HD Amsterdam Netherlands
Netherlands,Amsterdam,Best Western Premier Hotel Couture,Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands
Netherlands,Amsterdam,Bilderberg Garden Hotel,Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands
Netherlands,Amsterdam,Bilderberg Hotel Jan Luyken,Jan Luykenstraat 58 Oud Zuid 1071 CS Amsterdam Netherlands
Netherlands,Amsterdam,Boutique Hotel Notting Hill,Westeinde 26 Amsterdam City Center 1017 ZP Amsterdam Netherlands
Netherlands,Amsterdam,Chasse Hotel,Chassestraat 62 64 De Baarsjes 1057 JJ Amsterdam Netherlands
Netherlands,Amsterdam,Conservatorium Hotel,Van Baerlestraat 27 Oud Zuid 1071 AN Amsterdam Netherlands
Netherlands,Amsterdam,Corendon Vitality Hotel Amsterdam,Aletta Jacobslaan 7 Slotervaart 1066 BP Amsterdam Netherlands
Netherlands,Amsterdam,Courtyard by Marriott Amsterdam Arena Atlas,Hoogoorddreef 1 Zuidoost 1101 BA Amsterdam Netherlands
Netherlands,Amsterdam,Crowne Plaza Amsterdam South,George Gershwinlaan 101 Zuideramstel 1082 MT Amsterdam Netherlands
Netherlands,Amsterdam,De L Europe Amsterdam,Nieuwe Doelenstraat 2 14 Amsterdam City Center 1012 CP Amsterdam Netherlands
Netherlands,Amsterdam,Dikker en Thijs Fenice Hotel,Prinsengracht 444 Amsterdam City Center 1017 KE Amsterdam Netherlands
Netherlands,Amsterdam,DoubleTree by Hilton Amsterdam Centraal Station,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands
Netherlands,Amsterdam,DoubleTree by Hilton Hotel Amsterdam NDSM Wharf,Ndsm Plein 28 Amsterdam Noord 1033 WB Amsterdam Netherlands
Netherlands,Amsterdam,Dutch Design Hotel Artemis,John M Keynesplein 2 Slotervaart 1066 EP Amsterdam Netherlands
Netherlands,Amsterdam,Element Amsterdam,Arend Janszoon Ernststraat 577 Zuideramstel 1082 LD Amsterdam Netherlands
Netherlands,Amsterdam,Fletcher Hotel Amsterdam,Schepenbergweg 50 Zuidoost 1105 AT Amsterdam Netherlands
Netherlands,Amsterdam,Golden Tulip Amsterdam Riverside,Provincialeweg 38 Zuidoost 1108 AB Amsterdam Netherlands
Netherlands,Amsterdam,Golden Tulip Amsterdam West,Molenwerf 1 1014 AG Amsterdam Netherlands
Netherlands,Amsterdam,Grand Hotel Amr th Amsterdam,Prins Hendrikkade 108 Amsterdam City Center 1011 AK Amsterdam Netherlands
Netherlands,Amsterdam,Grand Hotel Downtown,Eerste Constantijn Huygensstraat 10A Oud West 1054 BR Amsterdam Netherlands
Netherlands,Amsterdam,Hampshire Hotel Amsterdam American,Leidsekade 97 Amsterdam City Center 1017 PN Amsterdam Netherlands
